old_entrez_gene_id	new_entrez_gene_id	date
6333	6332	20050503
6350	390788	20050510
6379	5625	20100803
6380	319100	20060607
6381	5905	20061228
6384	9672	20050503
6394	2719	20050509
6408	10934	20050502
6417	1991	20050502
6435	653509	20090825
6437	100288405	20091204
6438	392255	20080515
6454	50618	20050510
6460	727736	20070627
6467	7979	20050510
6475	546	20050506
6479	26503	20050217
6481	84620	20050510
6488	10610	20050510
6501	728622	20111206
6516	100128062	20080722
6537	386757	20060520
6544	84889	20050510
6552	389015	20050506
6562	6645	20050510
6589	1717	20050217
6592	6606	20070331
6600	10743	20100803
6669	1917	20081107
6673	3617	20050510
6679	93986	20050503
6680	3239	20050504
6681	51062	20050505
6684	9420	20080817
6686	123606	20050510
6735	6611	20060607
6743	4809	20081119
6763	202	20070719
6766	1316	20050507
6784	6785	20050510
6796	6198	20050510
6797	64324	20050510
6798	9322	20050905
6800	201254	20050510
6802	412	20050510
6805	112755	20070713
6806	2054	20050510
6807	2054	20050510
6808	2054	20050510
6823	2107	20050505
6826	100132121	20090226
6831	11198	20050510
6851	9241	20050509
6858	127833	20050510
6859	84258	20050510
6864	6863	20050502
6912	347853	20050510
6930	260341	20071101
6931	260340	20081025
6933	83439	20050509
6937	4779	20050510
6951	647047	20070722
6989	202500	20070714
6994	1646	20141122
6995	6736	20050510
7017	29928	20050510
7028	391158	20091022
7034	100129696	20091021
7061	7454	20050509
7081	2304	20050510
7129	5806	20050502
7147	7148	20050502
7149	79651	20141125
7160	8626	20080819
7176	7177	20050509
7191	343477	20050509
7213	7210	20080821
7261	650368	20140801
7269	2068	20060422
7281	92755	20090227
7282	647000	20090310
7285	645668	20080307
7304	2044	20050510
7308	7310	20050510
7309	7307	20050510
7330	283556	20110401
7331	100506424	20110607
7340	9959	20050505
7354	60495	20110319
7359	7360	20121120
7370	30833	20050510
7377	391051	20070920
7382	442454	20111012
7383	100130719	20101019
7387	100128525	20090128
7394	10083	20050510
7395	64072	20050510
7397	65217	20050510
7400	84059	20100715
7413	6899	20140130
7426	3069	20050510
7427	654	20050510
7437	7010	20050510
7440	5498	20050510
7445	726	20141122
7449	3685	20120422
7452	3664	20060607
7460	7461	20081119
7463	6521	20050510
7470	2200	20050502
7487	4286	20110216
7489	116442	20170816
7492	55869	20140130
7493	55906	20130724
7509	2072	20050502
7510	57109	20050503
7513	7511	20050510
7522	2189	20050502
7527	7529	20100713
7530	7534	20100729
7537	124961	20051026
7557	7581	20060512
7558	7582	20060512
7560	7596	20060512
7573	219749	20050510
7575	7767	20060512
7578	90075	20050510
7583	80778	20050502
7588	100129482	20050510
7590	7594	20050510
7595	51710	20050510
7598	84307	20050510
7599	197407	20081119
7600	339327	20060614
7601	342945	20050509
7602	115560	20060512
7607	51710	20081217
7609	126295	20060512
7610	51710	20050217
7611	7709	20070715
7612	7694	20050508
7613	255877	20050510
7615	55888	20060609
7616	23361	20060609
7622	58491	20050502
7623	100287084	20110617
7624	105379427	20170411
7630	58492	20050509
7631	7694	20060609
7635	347344	20050509
7636	55769	20050510
7645	168374	20050502
7646	81931	20060114
7648	7757	20061009
7651	148198	20071219
7653	163227	20050217
7654	94039	20050510
7655	100129842	20050510
7660	51427	20070715
7665	7771	20050510
7667	163071	20050507
7670	51351	20070327
7677	100188891	20101007
7684	400058	20070718
7685	391033	20090213
7698	7586	20050510
7708	7692	20051108
7715	90338	20050510
7719	10168	20050510
7720	55888	20050510
7721	353274	20050510
7722	169841	20050510
7729	144348	20100818
7731	89870	20050510
7734	339318	20050509
7735	7569	20050510
7740	105379427	20050510
7744	7572	20050502
7758	441843	20101006
7759	7755	20050510
7765	128553	20051025
7774	8927	20050510
7777	729944	20091023
7785	7784	20050502
7788	5189	20100415
7790	158586	20050510
7793	6298	20050509
7794	4830	20080820
7796	3339	20050510
7800	57190	20050502
7801	29914	20080817
7806	4904	20050510
7807	5980	20050510
